EVID,NTSB_NO,Month,Date,Year,Time,City,State,Long,Lat,Sky Condition,Highest Injury,Number of Injuries,Aircraft
20080107X00026,SEA08LA057,1,1,2008,2230,Sonoma,CA,381326N,1222659W,CLER,NONE,3,PA 28-180
20080107X00027,DFW08LA055,1,3,2008,825,Oklahoma City,OK,035321N,0973829W,CLER,FATL,9,PC-12/45
20080109X00036,DFW08CA054,1,1,2008,2200,Arcola,TX,293022N,0952836W,CLER,NONE,1,MAC-145B
20080114X00044,MIA08LA036,1,6,2008,1510,Miami,FL,253726N,0803426W,CLER,NONE,2,PA-28-161
20080115X00046,MIA08LA034,1,3,2008,2045,Stevensville,MD,385821N,0761928W,SCAT,NONE,1,P2002 Sierra
20080115X00047,MIA08LA035,1,5,2008,2045,Spotsylvania,VA,038128N,0773515W,CLER,MINR,1,R172K
20080115X00051,DEN08CA047,1,2,2008,2230,Loveland,CO,040276N,0010504W,CLER,NONE,1,152
20080115X00052,DEN08LA049,1,12,2008,2200,Pine Bluffs,WY,041912N,0104749W,SCAT,NONE,2,172M
20080116X00062,CHI08FA061,1,12,2008,1739,Port Clinton,OH,413138N,0825212W,SCAT,FATL,4,340
20080116X00063,ANC08MA038,1,5,2008,1743,Kodiak,AK,057452N,0152287W,FEW,FATL,10,PA-31-350
20080117X00067,SEA08FA062,1,14,2008,1508,Lihue,HI,021512N,1591927W,SCAT,FATL,1,1900C
20080117X00068,SEA08LA058,1,10,2008,2215,Perris,CA,033535N,0117158W,CLER,FATL,1,MK-5
20080117X00069,SEA08LA063,1,13,2008,2334,Centerville,WA,454259N,0120594W,CLER,MINR,2,PA-12
20080118X00073,SEA08LA061,1,14,2008,329,San Francisco,CA,037378N,1222229W,CLER,NONE,61,CL-600-2C10
20080118X00074,ANC08LA031,1,15,2008,1839,Bethel,AK,604647N,1615017W,SCAT,MINR,5,208B
20080118X00075,ANC08LA032,1,16,2008,1615,Aniak,AK,613454N,1593230W,-1,SERS,1,207
20080122X00082,CHI08LA067,1,12,2008,1838,Garrison,MN,461917N,0935025W,-1,SERS,1,RV8
20080122X00085,CHI08FA066,1,17,2008,22,Cleveland,OH,041313N,0081410W,-1,FATL,1,58
20080122X00087,NYC08LA077,1,7,2008,2345,DeLand,FL,028594N,0811758W,FEW,NONE,2,407
20080123X00090,MIA08FA038,1,12,2008,2038,Clearwater,FL,275447N,0824029W,FEW,FATL,3,172L
20080123X00091,MIA08LA041,1,17,2008,1911,Norwood,MA,421138N,0711040W,CLER,NONE,1,AA-5B
20080123X00096,NYC08LA075,1,5,2008,2115,Laurel,MD,039436N,0764940W,CLER,MINR,1,GENESIS
20080123X00098,LAX08FA047,1,18,2008,2200,Selma,CA,363354N,1194326W,CLER,FATL,1,V35B
20080125X00103,CHI08LA071,1,9,2008,1249,Detroit,MI,421245N,0832112W,-1,NONE,73,A319-114
20080128X00108,MIA08FA044,1,22,2008,1734,Ochopee,FL,255141N,0805250W,-1,FATL,2,R44
20080128X00111,DFW08FA057,1,18,2008,1830,San Antonio,TX,292047N,0981740W,CLER,FATL,1,PA46-500TP
20080129X00115,DEN08LA053,1,26,2008,1930,Valley Center,KS,374957N,0972212W,CLER,SERS,1,Flite Bike
20080129X00116,DEN08LA054,1,24,2008,2320,Rock Springs,WY,415649N,0108586W,CLER,NONE,2,Titan Tornado 912
20080129X00117,CHI08CA063,1,12,2008,2027,Newark,OH,040148N,0822743W,CLER,NONE,2,Newbold 2000
20080129X00119,DFW08FA056,1,17,2008,443,Tulsa,OK,361333N,0955322W,-1,FATL,1,500B
20080130X00124,LAX08FA049,1,20,2008,2334,Corona,CA,335256N,0117373W,CLER,FATL,5,172N
20080131X00125,MIA08LA043,1,20,2008,2130,Kissimmee,FL,281714N,0081268W,CLER,NONE,3,U206F
20080201X00130,LAX08FA052,1,26,2008,657,Los Angeles,CA,335645N,1181647W,CLER,FATL,1,R22 BETA
20080204X00131,SEA08CA065,1,8,2008,2105,Riverside,CA,335118N,1172543W,-1,NONE,2,R-22
20080205X00136,DFW08LA058,1,28,2008,1315,Wiggins,MS,304831N,0891129W,CLER,NONE,1,PA32-301FT
20080206X00142,DFW08FA060,2,2,2008,2313,Lindsay,OK,345126N,0973511W,CLER,FATL,2,SR22
20080207X00148,MIA08LA048,1,29,2008,2223,Marathon,FL,245229N,0811348W,CLER,SERS,2,G-21A
20080207X00150,MIA08FA052,2,3,2008,2117,Elkin,NC,361652N,0804649W,CLER,FATL,1,RV-4
20080207X00153,SEA08CA059,1,13,2008,15,La Verna,CA,035529N,1174654W,CLER,NONE,2,206 B2
20080208X00159,LAX08LA050,1,19,2008,1700,Green Valley,AZ,315626N,0111454W,CLER,FATL,2,Clipper
20080210X00160,NYC08LA087,1,27,2008,2230,McCullough,AL,031100N,0873130W,CLER,FATL,1,Free Bird Sportlite
20080210X00161,NYC08LA086,1,25,2008,1610,York,SC,035155N,0811510W,CLER,MINR,2,PA-28-R200
20080210X00162,NYC08LA078,1,8,2008,2123,North Palm Bch,FL,264954N,0080218W,FEW,SERS,1,R22 Beta
20080210X00166,NYC08CA074,1,2,2008,1645,Brunswick,GA,003196N,0812328W,CLER,NONE,3,A36
20080211X00167,SEA08LA068,2,2,2008,2030,Mukilteo,WA,475353N,1221710W,FEW,SERS,1,17-30A
20080211X00168,SEA08LA069,2,4,2008,1830,Parowan,UT,375135N,1124858W,OVCT,NONE,1,PA-32R-301T
20080211X00169,NYC08MA090,2,1,2008,1628,Mount Airy,NC,362748N,0080333W,-1,FATL,6,C90A
20080211X00171,SEA08LA070,2,2,2008,1800,Maricopa,CA,345721N,1192648W,-1,FATL,1,HARMON ROC
20080211X00172,MIA08MA051,2,1,2008,2248,West Gardiner,ME,441415N,0069516W,UNK,FATL,2,525
20080211X00173,LAX08LA056,2,1,2008,1916,Murrieta,CA,333445N,0011770W,FEW,NONE,1,Zodiac 601XL
20080211X00174,LAX08LA055,2,1,2008,1630,Palo Alto,CA,037270N,0012260W,SCAT,NONE,1,152
20080212X00177,SEA08LA072,2,8,2008,1818,Albany,OR,444115N,0123040W,SCAT,FATL,3,Lancair ES
20080213X00179,SEA08LA060,1,14,2008,120,Santa Monica,CA,034057N,0118274W,CLER,NONE,3,Jabiru J400
20080213X00180,SEA08LA064,1,12,2008,215,Placerville,CA,384327N,1204512W,CLER,NONE,1,PA-24-250
20080213X00181,SEA08FA071,2,8,2008,35,Hilo,HI,194241N,0155855W,SCAT,MINR,5,369E
20080213X00184,DFW08LA065,2,8,2008,227,San Antonio,TX,029321N,0098287W,CLER,NONE,2,TR182
20080213X00185,DFW08TA066,2,8,2008,1715,Valentine,TX,030359N,1042926W,CLER,MINR,1,OH-6
20080213X00186,DFW08LA068,2,10,2008,1739,Spring,TX,030257N,0095334W,CLER,SERS,1,PA-28-235
20080214X00188,MIA08CA047,1,28,2008,1615,Dawson,GA,314435N,0084259W,CLER,NONE,1,150J
20080214X00194,CHI08CA060,1,4,2008,2045,Whitmore Lake,MI,422235N,0834734W,-1,NONE,2,7AC
20080214X00195,CHI08CA072,1,27,2008,2030,Boswell,IN,403233N,0872515W,-1,NONE,1,MK-IV
20080215X00202,NYC08CA083,1,15,2008,1715,Fenner,NY,425952N,0754713W,SCAT,MINR,4,R44 II
20080219X00203,NYC08CA079,1,10,2008,44,Sarasota,FL,271535N,0821715W,CLER,NONE,2,150G
20080219X00204,NYC08CA080,1,11,2008,1800,Labelle,FL,264644N,0812556W,-1,NONE,1,C-152
20080219X00205,DFW08FA061,2,5,2008,45,Baytown,TX,294524N,0945042W,-1,FATL,1,210
20080219X00209,LAX08FA058,2,2,2008,2140,Cabazon,CA,003401N,1164644W,-1,FATL,4,340A
20080219X00210,SEA08LA073,2,9,2008,426,Piru,CA,342546N,0118452W,CLER,MINR,3,PA-44-180
20080220X00211,SEA08CA077,2,8,2008,345,Mesa,AZ,331828N,1113919W,CLER,NONE,2,172SP
20080220X00212,LAX08CA044,1,7,2008,1915,Exeter,CA,361419N,0119835W,CLER,NONE,2,7GCBC
20080220X00213,LAX08CA048,1,19,2008,2100,Vacaville,CA,382240N,1215742W,CLER,MINR,2,Glastar
20080220X00214,DEN08LA055,2,3,2008,1359,Denver,CO,395142N,1044023W,FEW,SERS,22,DHC-8-202
20080220X00215,DEN08FA058,2,13,2008,1855,Sterling,KS,038858N,0981913W,CLER,FATL,1,PA-23-250
20080220X00216,DEN08FA059,2,17,2008,45,Benton,KS,374715N,0097732W,OVCT,FATL,2,414A
20080220X00218,DEN08CA051,1,17,2008,2300,Taos,NM,362729N,1054020W,-1,NONE,4,PA-32-301XTC
20080220X00220,CHI08LA070,1,23,2008,1615,Cahokia,IL,383414N,0090922W,CLER,NONE,1,58
20080220X00221,DEN08LA057,2,12,2008,2205,Englewood,CO,393412N,1045057W,FEW,NONE,2,A45
20080221X00222,LAX08LA059,2,16,2008,2050,Stanwood,WA,481342N,1222156W,SCAT,FATL,2,RV-6A
20080221X00223,LAX08LA063,2,18,2008,38,Nevada City,CA,391644N,1205859W,CLER,FATL,1,RV-7
20080222X00227,DFW08FA062,2,6,2008,254,S. Padre Island,TX,026820N,0971225W,SCAT,FATL,3,AS350B2
20080222X00228,SEA08FA078,2,16,2008,1628,Portland,OR,045352N,0122375W,-1,FATL,1,LC41
20080222X00230,CHI08CA062,1,6,2008,2240,Valparaiso,IN,412712N,0087026W,CLER,MINR,2,RAF2000
20080222X00231,CHI08CA081,2,13,2008,215,Cahokia,IL,383414N,0090922W,-1,NONE,2,425
20080222X00232,CHI08LA080,2,8,2008,1909,Grand Meadow,MN,434011N,0923618W,-1,FATL,1,140
20080225X00233,LAX08CA051,1,20,2008,20,Brigham City,UT,041338N,0112344W,-1,NONE,1,8E
20080225X00234,SEA08CA075,2,9,2008,2100,Logan,UT,414728N,0111515W,FEW,NONE,2,140
20080226X00235,LAX08CA057,2,3,2008,200,Bullhead City,AZ,035926N,1143334W,CLER,NONE,2,R44 II
20080226X00236,LAX08CA054,1,30,2008,445,Brawley,CA,033210N,1153110W,CLER,NONE,1,OH-58A
20080227X00239,DFW08CA069,2,10,2008,15,Shallowater,TX,334454N,0010241W,FEW,NONE,1,J3C-65
20080228X00244,DFW08CA070,2,3,2008,2130,Jenks,OK,036222N,0095594W,CLER,NONE,1,172S
20080228X00245,SEA08LA082,2,22,2008,1445,Kayenta,AZ,362818N,0110254W,-1,SERS,20,1900D
20080228X00246,SEA08LA079,2,10,2008,145,Carefree,AZ,033495N,1115352W,CLER,NONE,1,P210N
20080229X00247,LAX08LA064,2,23,2008,2240,Willcox,AZ,321443N,1095340W,CLER,MINR,2,210
20080229X00248,LAX08CA053,1,25,2008,2300,Beaver Marsh,OR,043744N,0121494W,CLER,MINR,3,172N
20080229X00253,LAX08LA066,2,26,2008,2115,Murrieta,CA,036658N,1194052W,FEW,SERS,4,Lancair IV-P
20080304X00255,DEN08CA056,2,9,2008,1735,Alamogordo,NM,325014N,1055916W,-1,NONE,2,G-103A TWIN II ACRO
20080304X00257,MIA08LA066,2,27,2008,641,Tampa,FL,275832N,0823159W,SCAT,NONE,1,210L
20080304X00258,MIA08CA068,1,26,2008,1800,Westiminster,MD,393414N,0007702W,-1,NONE,1,172S
20080304X00260,MIA08CA065,2,15,2008,1457,Covington,KY,039234N,0844024W,CLER,SERS,53,EMB-145LR
20080304X00261,MIA08CA039,1,12,2008,2000,Lapine,AL,315817N,0861723W,CLER,NONE,1,PA-32-300
20080305X00264,NYC08CA092,2,3,2008,1330,Fruitland Park,FL,285241N,0815627W,CLER,MINR,1,Series 5 Kitfox
